work_year,job_title,job_category,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size,salary_in_usd_adjusted,log_salary_usd,simplified_job_title,employee_region,company_region,cross_border_work,cross_region_work,is_remote,salary_quartile,experience_level_encoded,company_size_encoded
2023,Data DevOps Engineer,Data Engineering,EUR,88000,95012.0,Germany,Mid-level,Full-time,Hybrid,Germany,L,95012.0,11.461758478394984,Other Data Professional,Europe,Europe,False,False,0,Low,1,2
2023,Data Architect,Data Architecture and Modeling,USD,186000,186000.0,United States,Senior,Full-time,In-person,United States,M,186000.0,12.133501952695338,Data Architect,North America,North America,False,False,0,High,2,1
2023,Data Architect,Data Architecture and Modeling,USD,81800,81800.0,United States,Senior,Full-time,In-person,United States,M,81800.0,11.312032522590838,Data Architect,North America,North America,False,False,0,Low,2,1
2023,Data Scientist,Data Science and Research,USD,212000,212000.0,United States,Senior,Full-time,In-person,United States,M,212000.0,12.26434155365415,Data Scientist,North America,North America,False,False,0,Very High,2,1
2023,Data Scientist,Data Science and Research,USD,93300,93300.0,United States,Senior,Full-time,In-person,United States,M,93300.0,11.443575386835436,Data Scientist,North America,North America,False,False,0,Low,2,1
2023,Data Scientist,Data Science and Research,USD,130000,130000.0,United States,Senior,Full-time,Remote,United States,M,130000.0,11.77528972943772,Data Scientist,North America,North America,False,False,1,Medium,2,1
2023,Data Scientist,Data Science and Research,USD,100000,100000.0,United States,Senior,Full-time,Remote,United States,M,100000.0,11.512925464970229,Data Scientist,North America,North America,False,False,1,Low,2,1
2023,Machine Learning Researcher,Machine Learning and AI,USD,224400,224400.0,United States,Mid-level,Full-time,In-person,United States,M,224400.0,12.321185452630678,ML/AI Engineer,North America,North America,False,False,0,Very High,1,1
2023,Machine Learning Researcher,Machine Learning and AI,USD,138700,138700.0,United States,Mid-level,Full-time,In-person,United States,M,138700.0,11.840068606302923,ML/AI Engineer,North America,North America,False,False,0,Medium,1,1
2023,Data Engineer,Data Engineering,USD,210000,210000.0,United States,Executive,Full-time,Remote,United States,M,210000.0,12.254862809699606,Data Engineer,North America,North America,False,False,1,Very High,3,1
2023,Data Engineer,Data Engineering,USD,168000,168000.0,United States,Executive,Full-time,Remote,United States,M,168000.0,12.031719258385396,Data Engineer,North America,North America,False,False,1,High,3,1
2023,Machine Learning Engineer,Machine Learning and AI,USD,224400,224400.0,United States,Senior,Full-time,In-person,United States,M,224400.0,12.321185452630678,ML/AI Engineer,North America,North America,False,False,0,Very High,2,1
2023,Machine Learning Engineer,Machine Learning and AI,USD,138700,138700.0,United States,Senior,Full-time,In-person,United States,M,138700.0,11.840068606302923,ML/AI Engineer,North America,North America,False,False,0,Medium,2,1
2023,Data Scientist,Data Science and Research,GBP,35000,43064.0,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,43064.0,10.670442660240793,Data Scientist,Europe,Europe,False,False,0,Low,1,1
2023,Data Scientist,Data Science and Research,GBP,30000,36912.0,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,36912.0,10.516291980413534,Data Scientist,Europe,Europe,False,False,0,Low,1,1
2023,Data Analyst,Data Analysis,USD,95000,95000.0,United States,Entry-level,Full-time,In-person,United States,M,95000.0,11.461632170582678,Data Analyst,North America,North America,False,False,0,Low,0,1
2023,Data Analyst,Data Analysis,USD,75000,75000.0,United States,Entry-level,Full-time,In-person,United States,M,75000.0,11.225243392518447,Data Analyst,North America,North America,False,False,0,Low,0,1
2023,Data Scientist,Data Science and Research,USD,300000,300000.0,United States,Senior,Full-time,In-person,United States,M,300000.0,12.611537753638338,Data Scientist,North America,North America,False,False,0,Very High,2,1
2023,Data Scientist,Data Science and Research,USD,234000,234000.0,United States,Senior,Full-time,In-person,United States,M,234000.0,12.363076394339839,Data Scientist,North America,North America,False,False,0,Very High,2,1
2023,Analytics Engineer,Leadership and Management,USD,140000,140000.0,United States,Mid-level,Full-time,In-person,United States,M,140000.0,11.84939770159144,Analytics Professional,North America,North America,False,False,0,Medium,1,1
2023,Analytics Engineer,Leadership and Management,USD,120000,120000.0,United States,Mid-level,Full-time,In-person,United States,M,120000.0,11.695247021764184,Analytics Professional,North America,North America,False,False,0,Medium,1,1
2023,Machine Learning Engineer,Machine Learning and AI,USD,204500,204500.0,United States,Mid-level,Full-time,In-person,United States,M,204500.0,12.228323254464993,ML/AI Engineer,North America,North America,False,False,0,Very High,1,1
2023,Machine Learning Engineer,Machine Learning and AI,USD,142200,142200.0,United States,Mid-level,Full-time,In-person,United States,M,142200.0,11.864989796351278,ML/AI Engineer,North America,North America,False,False,0,Medium,1,1
2023,Data Analyst,Data Analysis,USD,155000,155000.0,United States,Mid-level,Full-time,In-person,United States,M,155000.0,11.951180395901384,Data Analyst,North America,North America,False,False,0,High,1,1
2023,Data Analyst,Data Analysis,USD,110000,110000.0,United States,Mid-level,Full-time,In-person,United States,M,110000.0,11.608235644774552,Data Analyst,North America,North America,False,False,0,Medium,1,1
2023,Machine Learning Engineer,Machine Learning and AI,USD,266500,266500.0,United States,Senior,Full-time,In-person,United States,M,266500.0,12.493129522588037,ML/AI Engineer,North America,North America,False,False,0,Very High,2,1
2023,Machine Learning Engineer,Machine Learning and AI,USD,152000,152000.0,United States,Senior,Full-time,In-person,United States,M,152000.0,11.931635799828413,ML/AI Engineer,North America,North America,False,False,0,High,2,1
2023,Applied Scientist,Data Science and Research,USD,222200,222200.0,United States,Mid-level,Full-time,In-person,United States,L,222200.0,12.311333156187667,Other Data Professional,North America,North America,False,False,0,Very High,1,2
2023,Applied Scientist,Data Science and Research,USD,136000,136000.0,United States,Mid-level,Full-time,In-person,United States,L,136000.0,11.820410164718188,Other Data Professional,North America,North America,False,False,0,Medium,1,2
2023,Machine Learning Engineer,Machine Learning and AI,USD,273400,273400.0,United States,Senior,Full-time,In-person,United States,M,273400.0,12.518691203271986,ML/AI Engineer,North America,North America,False,False,0,Very High,2,1
2023,Machine Learning Engineer,Machine Learning and AI,USD,182200,182200.0,United States,Senior,Full-time,In-person,United States,M,182200.0,12.112860263807995,ML/AI Engineer,North America,North America,False,False,0,High,2,1
2023,BI Developer,BI and Visualization,USD,167500,167500.0,United States,Senior,Full-time,In-person,United States,M,167500.0,12.028738630247258,BI Developer,North America,North America,False,False,0,High,2,1
2023,BI Developer,BI and Visualization,USD,106500,106500.0,United States,Senior,Full-time,In-person,United States,M,106500.0,11.575900264131617,BI Developer,North America,North America,False,False,0,Low,2,1
2023,Data Engineer,Data Engineering,USD,185900,185900.0,United States,Senior,Full-time,In-person,United States,M,185900.0,12.132964173709535,Data Engineer,North America,North America,False,False,0,High,2,1
2023,Data Engineer,Data Engineering,USD,129300,129300.0,United States,Senior,Full-time,In-person,United States,M,129300.0,11.76989056475995,Data Engineer,North America,North America,False,False,0,Medium,2,1
2023,Business Intelligence Engineer,BI and Visualization,USD,185000,185000.0,United States,Mid-level,Full-time,In-person,United States,L,185000.0,12.128111104060462,BI Developer,North America,North America,False,False,0,High,1,2
2023,Business Intelligence Engineer,BI and Visualization,USD,79600,79600.0,United States,Mid-level,Full-time,In-person,United States,L,79600.0,11.284769371832475,BI Developer,North America,North America,False,False,0,Low,1,2
2023,Data Engineer,Data Engineering,USD,122000,122000.0,United States,Senior,Full-time,In-person,United States,M,122000.0,11.711776323715394,Data Engineer,North America,North America,False,False,0,Medium,2,1
2023,Data Engineer,Data Engineering,USD,94500,94500.0,United States,Senior,Full-time,In-person,United States,M,94500.0,11.456355113481834,Data Engineer,North America,North America,False,False,0,Low,2,1
2023,Data Engineer,Data Engineering,USD,247300,247300.0,United States,Senior,Full-time,In-person,United States,M,247300.0,12.418357453509508,Data Engineer,North America,North America,False,False,0,Very High,2,1
2023,Data Engineer,Data Engineering,USD,139700,139700.0,United States,Senior,Full-time,In-person,United States,M,139700.0,11.847252545245054,Data Engineer,North America,North America,False,False,0,Medium,2,1
2023,Data Analyst,Data Analysis,USD,176000,176000.0,United States,Senior,Full-time,In-person,United States,M,176000.0,12.078239274020289,Data Analyst,North America,North America,False,False,0,High,2,1
